id,title,disposition,hold_reason,file_count,audit_kind,url,folder_path
b-roll-archive-del-bigtree-b-roll,ARCHIVE - Del Bigtree — B-Roll,merge,wrong granularity: ARCHIVE - Del Bigtree,12,b-roll / video,https://drive.google.com/drive/folders/1zC4KZLVQsaKFj8NEkmfjjpSwCGNqRUIO,2. sHEALed MASTER / 2. sHEALed Main Deliverables Chris Jackson / 3. sHEALed Shorts/Reels / 5. Del Bigtree / ARCHIVE - Del Bigtree
b-roll-archive-dr-bales-b-roll,ARCHIVE - Dr. Bales — B-Roll,merge,wrong granularity: ARCHIVE - Dr. Bales,20,b-roll / video,https://drive.google.com/drive/folders/1e3eiTtkRy5FZjrzVo74E8JAGAGbueunz,2. sHEALed MASTER / 2. sHEALed Main Deliverables Chris Jackson / 3. sHEALed Shorts/Reels / 6. Dr. Martin Bales / ARCHIVE - Dr. Bales
b-roll-dr-martin-bales-fcpbundle-b-roll,Dr. Martin Bales.fcpbundle — B-Roll,reject,machine artifact: Dr. Martin Bales.fcpbundle,15,other,https://drive.google.com/drive/folders/1aRiDhUpsmWvEYJD3VCZiwYb_RQqIRYl9,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 02 / 01 Dr. Martin Bales / Files / Dr. Martin Bales.fcpbundle
b-roll-maryn-azoff-2-fcpbundle-b-roll,Maryn Azoff 2.fcpbundle — B-Roll,reject,machine artifact: Maryn Azoff 2.fcpbundle,31,other,https://drive.google.com/drive/folders/1aLsp9qT8eNFB11xLmEMFh45AscuxwGSf,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 02 / 02 Maryn Azoff / Files / Maryn Azoff 2.fcpbundle
b-roll-justin-hai-2-fcpbundle-b-roll,Justin Hai 2.fcpbundle — B-Roll,reject,machine artifact: Justin Hai 2.fcpbundle,27,other,https://drive.google.com/drive/folders/14iXAKZaGsUr1EGAzrqMu-ZxmYfic02Jx,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 02 / 03 Justin Hai / File / Justin Hai 2.fcpbundle
b-roll-ryan-2-fcpbundle-b-roll,Ryan 2.fcpbundle — B-Roll,reject,machine artifact: Ryan 2.fcpbundle,26,other,https://drive.google.com/drive/folders/1BAePdpv1UeW2FMh_oufXy3VShgPWrqUa,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 02 / 04 Ryan Encinas & Dr. Steven Moore / File / Ryan 2.fcpbundle
b-roll-dr-labib-ghulmiyyah-2-fcpbundle-b-roll,Dr. Labib Ghulmiyyah 2.fcpbundle — B-Roll,reject,machine artifact: Dr. Labib Ghulmiyyah 2.fcpbundle,29,other,https://drive.google.com/drive/folders/1xS85J_ulYzcI290qrIiSI2WNutAAf8UK,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 03 / 02 Dr. Labib Ghulmiyyah / Files / Dr. Labib Ghulmiyyah 2.fcpbundle
b-roll-kim-vopni-fcpbundle-b-roll,Kim Vopni.fcpbundle — B-Roll,reject,machine artifact: Kim Vopni.fcpbundle,26,other,https://drive.google.com/drive/folders/1K3Azb0TU6_zkVZFWB_v0siBkC7A8LcDo,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 03 / 01 Kim Vopni / Files / Kim Vopni.fcpbundle
b-roll-dr-deb-matthew-2-fcpbundle-b-roll,Dr. Deb Matthew 2.fcpbundle — B-Roll,reject,machine artifact: Dr. Deb Matthew 2.fcpbundle,28,other,https://drive.google.com/drive/folders/15jroAKAT8F9SZkMeWoxejWONE5veT-x-,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 03 / 03 Dr. Deb Matthew / Files / Dr. Deb Matthew 2.fcpbundle
b-roll-nayan-payel-fcpbundle-b-roll,Nayan Payel.fcpbundle — B-Roll,reject,machine artifact: Nayan Payel.fcpbundle,28,other,https://drive.google.com/drive/folders/176BSPgV9F5TDGE8K1OBb5HGKYRUOs4_s,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 03 / 04 Nayan Payel / Files / Nayan Payel.fcpbundle
