id,title,disposition,hold_reason,file_count,audit_kind,url,folder_path
b-roll-a4m-red-carpet-7fd3af6362d0f57fb8605e7ff0ad0ed9-premi,"A4M Red Carpet — 7FD3AF6362D0F57FB8605E7FF0AD0ED9 — Premiere, December 2024",reject,machine artifact: NEW PANNEL #3.fcpbundle,13,other,https://drive.google.com/drive/folders/1G2N3FvjHiD_iMKRy9ShnQ4MrRYSMkOAp,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / Panels / NEW PANNEL #3.fcpbundle / 12-19-24 / Render Files / Thumbnail Media / 7FD3AF6362D0F57FB8605E7FF0AD0ED9
b-roll-a4m-red-carpet-8fb1d78abb6412397179a2a70e841ce0-premi,"A4M Red Carpet — 8FB1D78ABB6412397179A2A70E841CE0 — Premiere, December 2024",reject,machine artifact: NEW PANNEL #3.fcpbundle,24,other,https://drive.google.com/drive/folders/1xm9eNUyRP41PqMCxFDzDyJ0qz3zRme_X,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / Panels / NEW PANNEL #3.fcpbundle / 12-19-24 / Render Files / Thumbnail Media / 8FB1D78ABB6412397179A2A70E841CE0
b-roll-a4m-red-carpet-9f32a72d4bfdef07c04d3726b50d6cde-premi,"A4M Red Carpet — 9F32A72D4BFDEF07C04D3726B50D6CDE — Premiere, December 2024",reject,machine artifact: NEW PANNEL #3.fcpbundle,85,other,https://drive.google.com/drive/folders/10ME8FO2Wca6-1P-6V9iPYQah5-8QQHdh,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / Panels / NEW PANNEL #3.fcpbundle / 12-19-24 / Render Files / Thumbnail Media / 9F32A72D4BFDEF07C04D3726B50D6CDE
b-roll-a4m-red-carpet-c104c8af2d53956a527f0c1efac5a437-premi,"A4M Red Carpet — C104C8AF2D53956A527F0C1EFAC5A437 — Premiere, December 2024",reject,machine artifact: NEW PANNEL #3.fcpbundle,12,other,https://drive.google.com/drive/folders/18-HUuUegSWvcU_f1yu6d4Z-nHgQD3SZ3,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / Panels / NEW PANNEL #3.fcpbundle / 12-19-24 / Render Files / Thumbnail Media / C104C8AF2D53956A527F0C1EFAC5A437
b-roll-a4m-red-carpet-caea5c1c5c0e7008a83253fecd53b3f3-premi,"A4M Red Carpet — CAEA5C1C5C0E7008A83253FECD53B3F3 — Premiere, December 2024",reject,machine artifact: NEW PANNEL #3.fcpbundle,11,other,https://drive.google.com/drive/folders/1zlT1mKJn2temI8cKQuNvybMzoWazva1J,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / Panels / NEW PANNEL #3.fcpbundle / 12-19-24 / Render Files / Thumbnail Media / CAEA5C1C5C0E7008A83253FECD53B3F3
b-roll-a4m-red-carpet-c8fd490aba13c5c5554695e03e2dfa39-premi,"A4M Red Carpet — C8FD490ABA13C5C5554695E03E2DFA39 — Premiere, December 2024",reject,machine artifact: NEW PANNEL #3.fcpbundle,16,other,https://drive.google.com/drive/folders/16M23lCFSA3oHdT7HQ2w48Rss-VYeEhkf,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / Panels / NEW PANNEL #3.fcpbundle / 12-19-24 / Render Files / Thumbnail Media / C8FD490ABA13C5C5554695E03E2DFA39
b-roll-a4m-red-carpet-cd14b2d469d4bfc0ad8490a4918fa0c0-premi,"A4M Red Carpet — CD14B2D469D4BFC0AD8490A4918FA0C0 — Premiere, December 2024",reject,machine artifact: NEW PANNEL #3.fcpbundle,61,other,https://drive.google.com/drive/folders/1ElrKLMpSqR8JPppsbPk1lXx1cBVYNiue,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / Panels / NEW PANNEL #3.fcpbundle / 12-19-24 / Render Files / Thumbnail Media / CD14B2D469D4BFC0AD8490A4918FA0C0
b-roll-a4m-red-carpet-dbd400fdfa9e207057fa85cf3133f2ae-premi,"A4M Red Carpet — DBD400FDFA9E207057FA85CF3133F2AE — Premiere, December 2024",reject,machine artifact: NEW PANNEL #3.fcpbundle,19,other,https://drive.google.com/drive/folders/19dLW8ftvvUuYOEJ2ZTGlWtKUt_lIe1OQ,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / Panels / NEW PANNEL #3.fcpbundle / 12-19-24 / Render Files / Thumbnail Media / DBD400FDFA9E207057FA85CF3133F2AE
b-roll-a4m-red-carpet-e7c6628dae09856077a3d114b765f2c4-premi,"A4M Red Carpet — E7C6628DAE09856077A3D114B765F2C4 — Premiere, December 2024",reject,machine artifact: NEW PANNEL #3.fcpbundle,21,other,https://drive.google.com/drive/folders/1LSPQrJFUOiyIGInmwSFjm6Jj5ervszLx,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / Panels / NEW PANNEL #3.fcpbundle / 12-19-24 / Render Files / Thumbnail Media / E7C6628DAE09856077A3D114B765F2C4
b-roll-a4m-red-carpet-f2a011e57f162a442b2540d9fa009194-premi,"A4M Red Carpet — F2A011E57F162A442B2540D9FA009194 — Premiere, December 2024",reject,machine artifact: NEW PANNEL #3.fcpbundle,17,other,https://drive.google.com/drive/folders/1F2ak-9OTEAjk_d0rZN-j6cdSUdalmTWe,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / Panels / NEW PANNEL #3.fcpbundle / 12-19-24 / Render Files / Thumbnail Media / F2A011E57F162A442B2540D9FA009194
b-roll-3dc7b72235cfc934e0f8b52bb80f3e25-b-roll-december-2024,"3DC7B72235CFC934E0F8B52BB80F3E25 — B-Roll, December 2024",reject,machine artifact: Ryan 2.fcpbundle,12,other,https://drive.google.com/drive/folders/1xnsowqSTraXhJDK4jEx0nhbCrBJW8PdE,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 02 / 04 Ryan Encinas & Dr. Steven Moore / File / Ryan 2.fcpbundle / 12-17-24 / Render Files / Thumbnail Media / 3DC7B72235CFC934E0F8B52BB80F3E25
b-roll-70a81610aaf841e6f29762229fec1aa8-b-roll-december-2024,"70A81610AAF841E6F29762229FEC1AA8 — B-Roll, December 2024",reject,machine artifact: Ryan 2.fcpbundle,12,other,https://drive.google.com/drive/folders/17JYrERWZq0c4WgzT_kM7HOoIZma-SB6O,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 02 / 04 Ryan Encinas & Dr. Steven Moore / File / Ryan 2.fcpbundle / 12-17-24 / Render Files / Thumbnail Media / 70A81610AAF841E6F29762229FEC1AA8
b-roll-87bbcbf70e1dad2a9e28db96e1ae05dc-b-roll-december-2024,"87BBCBF70E1DAD2A9E28DB96E1AE05DC — B-Roll, December 2024",reject,machine artifact: Ryan 2.fcpbundle,16,other,https://drive.google.com/drive/folders/1Lzd7tLAfotvtnEbOR5v0mQcHjmgcZk8m,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 02 / 04 Ryan Encinas & Dr. Steven Moore / File / Ryan 2.fcpbundle / 12-17-24 / Render Files / Thumbnail Media / 87BBCBF70E1DAD2A9E28DB96E1AE05DC
b-roll-aedee809abfd6e82645ac2914960c458-b-roll-december-2024,"AEDEE809ABFD6E82645AC2914960C458 — B-Roll, December 2024",reject,machine artifact: Ryan 2.fcpbundle,10,other,https://drive.google.com/drive/folders/1uAXAMtbO3EwUfdcmHxHvSAX0JxYnI3d5,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 02 / 04 Ryan Encinas & Dr. Steven Moore / File / Ryan 2.fcpbundle / 12-17-24 / Render Files / Thumbnail Media / AEDEE809ABFD6E82645AC2914960C458
